,theta0,theta1,j
388,118365.62740058602,152978.36611555086,2058531131.0555055
389,118362.53430615496,152983.49811187971,2058526837.9853523
390,118359.45068568643,152988.61431509157,2058522571.2970538
391,118356.37651002659,152993.71477378905,2058518330.8284848
392,118353.31175011129,152998.79953642515,2058514116.4185183
393,118350.25637696582,153003.86865130375,2058509927.9070148
394,118347.21036170457,153008.92216658007,2058505765.1348226
395,118344.17367553082,153013.96013026108,2058501627.9437664
396,118341.14628973644,153018.982590206,2058497516.1766415
397,118338.1281757016,153023.98959412673,2058493429.677211
398,118335.11930489451,153028.98118958832,2058489368.2901988
399,118332.11964887122,153033.95742400942,2058485331.86128
